cert,rcon2200_total_deposits,riad4073_total_interest_expense,riad4079_total_noninterest_income,riad4093_total_noninterest_expense,riad4107_total_interest_income,riad4340_net_income,riad4135_salaries_and_employee_benefits,n_missing,riad4092_other_noninterest_expense,riad4518_other_interest_income,name,asset,age,roa,roe,offices,specialization,bank_class,riad3196_relzd_gains(loss)_on_avl-fr-sle_secs,rconk115_ln_rstr_secd_nonfarm_own_pd_90
13584,42894,378,273,1663,2119,325,1090,250,422,0,The Tampa State Bank,57075,118.43835616438356,0.6,5.92,2,Agricultural  Specialization,NM,-14,0
31267,36070,430,-24,1435,2389,280,628,259,738,10,Homewood Federal Savings Bank,55147,103.43013698630136,0.51,1.77,1,Mortgage Lending Specialization,SA,0,0
17652,18288,110,51,621,750,55,400,252,180,2,The Alden State Bank,20670,115.43835616438356,0.27,2.36,1,All Other Specialization  < 1 Billion,NM,0,0
8519,31587,168,105,647,1400,527,351,252,249,1,White State Bank,37859,111.43561643835616,1.41,8.73,1,Agricultural  Specialization,NM,0,0
862,79635,571,797,2782,3610,986,1538,211,1057,19,Bank of York,108767,108.43287671232876,0.99,9.96,2,Commercial Lending Specialization,NM,33,0
31266,25684,209,39,825,1217,163,455,218,298,3,"Jackson Savings Bank, SSB",32513,64.40273972602739,0.5,2.45,2,Mortgage Lending Specialization,SB,0,0
18100,609647,6921,11563,31901,36494,8657,18389,248,9626,419,CoreFirst Bank & Trust,906491,59.487671232876714,0.95,10.47,16,Commercial Lending Specialization,NM,0,0
18297,4436476,48832,41510,115219,229087,83501,69943,181,25920,1396,Southside Bank,6117745,58.64383561643836,1.33,9.46,64,Commercial Lending Specialization,NM,-1839,0
31272,130651,1380,655,4755,7175,1288,2630,259,1369,37,Community  Bank,156259,57.80821917808219,0.85,9.15,3,Commercial Lending Specialization,SM,0,0
15778,50895,435,95,1299,2035,76,756,252,474,7,Grant County Bank,59500,124.44109589041096,0.12,0.89,1,Agricultural  Specialization,SM,0,0
22015,329385,1793,1952,11433,17550,4438,6973,192,2978,61,Andrew Johnson Bank,370500,44.03013698630137,1.2,11.91,9,Commercial Lending Specialization,NM,-29,0
16094,40184,318,75,1031,1908,368,577,252,345,6,The Exchange State Bank,45235,85.41643835616438,0.79,9.44,2,Agricultural  Specialization,NM,-6,0
3075,152351,964,941,5108,7561,1680,3023,252,1282,3,The First National Bank of Anderson,171181,114.92876712328767,0.96,9.17,2,Commercial Lending Specialization,N,0,0
13341,673442,2887,6221,24091,34951,11396,14279,190,6424,340,The Croghan Colonial Bank,844680,130.88219178082193,1.37,10.43,17,Commercial Lending Specialization,SM,-44,0
3320,111062,65,1075,3155,3855,1707,1550,250,1153,0,"Big Bend Banks, N.A.",129531,112.1041095890411,1.32,9.79,2,Other Specialized Lending < 1 Billion,N,-3,0
5730,53607,194,129,1097,2125,906,756,259,246,0,State Bank of St. Jacob,63775,115.6,1.46,9.25,2,All Other Specialization  < 1 Billion,NM,0,0
